number,value,datetime_start,datetime_complete,duration,params_conv2_drop,params_fc1_neurons,params_learning_rate,params_num_conv1_channels,params_num_conv2_channels,params_optimizer,state
25,0.01626817137002945,2022-11-04 01:22:38.233334,2022-11-04 01:27:03.764516,0 days 00:04:25.531182,0.158451845708855,150,0.00019454816172831765,112,80,Adam,COMPLETE
54,0.016575662419199944,2022-11-04 03:18:01.679457,2022-11-04 03:21:59.337138,0 days 00:03:57.657681,0.1715851381365764,130,0.0001931644409160057,96,80,Adam,COMPLETE
95,0.016686923801898956,2022-11-04 05:52:50.683161,2022-11-04 05:56:48.528185,0 days 00:03:57.845024,0.17822682860252476,140,0.00013344369888955047,96,96,Adam,COMPLETE
32,0.016795756295323372,2022-11-04 01:50:42.993364,2022-11-04 01:55:23.413888,0 days 00:04:40.420524,0.1826615667590497,110,0.00011196607760987047,80,64,Adam,COMPLETE
86,0.01730378158390522,2022-11-04 05:17:21.943467,2022-11-04 05:22:02.840522,0 days 00:04:40.897055,0.19991555667957706,170,8.948877592517693e-05,96,112,Adam,COMPLETE
89,0.01735905557870865,2022-11-04 05:30:12.077574,2022-11-04 05:34:51.733083,0 days 00:04:39.655509,0.18911860155537355,140,0.0001373505923930741,112,80,Adam,COMPLETE
88,0.017421703785657883,2022-11-04 05:26:42.042440,2022-11-04 05:30:12.077574,0 days 00:03:30.035134,0.18840064602857895,150,0.0001360350732888287,96,96,Adam,COMPLETE
74,0.017435584217309952,2022-11-04 04:41:34.091010,2022-11-04 04:44:22.507475,0 days 00:02:48.416465,0.16043844993135065,170,0.00031827991529664277,96,80,Adam,COMPLETE
72,0.0175944697111845,2022-11-04 04:34:18.684757,2022-11-04 04:38:59.334292,0 days 00:04:40.649535,0.16084783389383214,170,0.00010272038273092293,96,96,Adam,COMPLETE
60,0.017601357772946358,2022-11-04 03:43:12.526430,2022-11-04 03:47:25.016436,0 days 00:04:12.490006,0.18144906307363984,150,0.00010263314053293932,96,96,Adam,COMPLETE
85,0.017803024500608444,2022-11-04 05:13:24.164883,2022-11-04 05:17:21.943467,0 days 00:03:57.778584,0.17704662248119024,170,0.0001609423975615451,96,112,Adam,COMPLETE
67,0.017872003838419914,2022-11-04 04:12:22.583464,2022-11-04 04:17:02.747304,0 days 00:04:40.163840,0.15800599921605465,180,0.00010904472974817589,96,96,Adam,COMPLETE
73,0.017939476296305656,2022-11-04 04:38:59.334292,2022-11-04 04:41:34.091010,0 days 00:02:34.756718,0.16055735419003173,170,0.0003076867531025789,96,112,Adam,COMPLETE
14,0.01799141988158226,2022-11-04 00:38:04.212544,2022-11-04 00:41:35.144134,0 days 00:03:30.931590,0.16309149290927577,80,0.00018501940576309242,96,112,Adam,COMPLETE
49,0.0180211178958416,2022-11-04 02:59:07.527292,2022-11-04 03:03:47.965871,0 days 00:04:40.438579,0.1660647729714996,120,7.538858506995618e-05,96,112,Adam,COMPLETE
61,0.018025200814008713,2022-11-04 03:47:25.016436,2022-11-04 03:51:22.929270,0 days 00:03:57.912834,0.18132928248954236,150,0.00010231980792408968,96,96,Adam,COMPLETE
15,0.018031585961580276,2022-11-04 00:41:35.144134,2022-11-04 00:46:16.426016,0 days 00:04:41.281882,0.16571947732627867,130,0.00016896519866248979,96,80,Adam,COMPLETE
17,0.018034111708402634,2022-11-04 00:50:56.295404,2022-11-04 00:54:53.949186,0 days 00:03:57.653782,0.17043372578606336,130,0.00018768545507960813,64,80,Adam,COMPLETE
68,0.018055249005556107,2022-11-04 04:17:02.747304,2022-11-04 04:21:43.575505,0 days 00:04:40.828201,0.15790420785448692,200,0.00012237259492083085,80,80,Adam,COMPLETE
83,0.018057292327284813,2022-11-04 05:05:28.120433,2022-11-04 05:08:43.801149,0 days 00:03:15.680716,0.17058735718969462,160,0.00019186738682131657,112,80,Adam,COMPLETE
7,0.018089881166815758,2022-11-04 00:15:12.732921,2022-11-04 00:19:24.915859,0 days 00:04:12.182938,0.14930225541596817,70,0.00014698504316532513,96,112,Adam,COMPLETE
92,0.018093908205628395,2022-11-04 05:40:55.617778,2022-11-04 05:44:26.273963,0 days 00:03:30.656185,0.1915034709345788,160,0.00012426831473941283,112,80,Adam,COMPLETE
46,0.018167272210121155,2022-11-04 02:48:10.637862,2022-11-04 02:51:13.066605,0 days 00:03:02.428743,0.1905032366984544,130,0.000355749529398081,96,48,Adam,COMPLETE
65,0.018241185694932938,2022-11-04 04:04:26.624996,2022-11-04 04:07:42.514932,0 days 00:03:15.889936,0.1779900029582938,140,0.00014494647182161755,96,96,Adam,COMPLETE
84,0.01824786886572838,2022-11-04 05:08:43.801149,2022-11-04 05:13:24.164883,0 days 00:04:40.363734,0.1438482603073212,180,0.00023095560207427954,80,64,Adam,COMPLETE
77,0.018252473324537277,2022-11-04 04:49:03.363159,2022-11-04 04:52:27.622930,0 days 00:03:24.259771,0.17445397083032096,170,0.0002932998136322034,80,64,Adam,COMPLETE
69,0.01828196458518505,2022-11-04 04:21:43.575505,2022-11-04 04:25:55.587335,0 days 00:04:12.011830,0.14799375993193434,180,8.092340362029411e-05,96,128,Adam,COMPLETE
38,0.0183226577937603,2022-11-04 02:16:33.400039,2022-11-04 02:20:45.572202,0 days 00:04:12.172163,0.11939261250619634,190,0.0001462791554344665,96,96,Adam,COMPLETE
63,0.018337402492761612,2022-11-04 03:55:35.105181,2022-11-04 04:00:15.113334,0 days 00:04:40.008153,0.17192690438572952,170,7.002838764373947e-05,112,112,Adam,COMPLETE
98,0.018378546461462975,2022-11-04 06:03:49.071165,2022-11-04 06:08:29.168465,0 days 00:04:40.097300,0.1953286706994828,130,9.968237726327636e-05,112,80,Adam,COMPLETE
42,0.018416155129671097,2022-11-04 02:33:04.439196,2022-11-04 02:37:29.989962,0 days 00:04:25.550766,0.1876768367426998,110,0.00012793474563720363,64,80,Adam,COMPLETE
94,0.018433833494782448,2022-11-04 05:49:05.721507,2022-11-04 05:52:50.683161,0 days 00:03:44.961654,0.18820262566042856,150,0.00016995088973224224,112,80,Adam,COMPLETE
12,0.01850122958421707,2022-11-04 00:33:23.083344,2022-11-04 00:35:57.745253,0 days 00:02:34.661909,0.1475598579632401,70,0.00029736529670787367,96,112,Adam,COMPLETE
35,0.018525563180446625,2022-11-04 02:03:19.472577,2022-11-04 02:07:17.681910,0 days 00:03:58.209333,0.18269158372388591,80,0.00024783992490940636,96,64,Adam,COMPLETE
21,0.0185841154307127,2022-11-04 01:08:38.689878,2022-11-04 01:12:50.568386,0 days 00:04:11.878508,0.1700053852320349,130,0.00018367435844522344,64,64,Adam,COMPLETE
44,0.018612679094076157,2022-11-04 02:40:17.945918,2022-11-04 02:43:32.599321,0 days 00:03:14.653403,0.15376431563053214,140,0.0002657529132738181,48,64,Adam,COMPLETE
